variableId,parent_variable_id,category,subcategory,variableName,unit,unit_accession,value_type,observation_level,scaleName,scaleClass,system_id,acquisition_modality,acquisition_filter,acquisition_light_profile,acquisition_geometry,signal_interpretation,roi_canonical,implementation_roi_alias,acquisition_unit,filter_notes,axis_definition,export_shape,traitName,traitAccNumber,traitEntity,traitEntityAccessionNumber,traitCharacteristic,traitCharacteristicAccessionNumber,methodName,methodDesc,methodRef,record_status,introduced_in_version,deprecated_in_version,replaced_by_variable_id
fluor.F565.peri_root.sum,fluor.F565.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in peri-root region (filter F565),a.u.,,float,plant_round,,,HADES:FLUOR:F565:PERI_ROOT:SUM,fluorcam_single_channel,F565,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F586.peri_root.mean,fluor.F586.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in peri-root region (filter F586),a.u.,,float,plant_round,,,HADES:FLUOR:F586:PERI_ROOT:MEAN,fluorcam_single_channel,F586,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F586.peri_root.sum,fluor.F586.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in peri-root region (filter F586),a.u.,,float,plant_round,,,HADES:FLUOR:F586:PERI_ROOT:SUM,fluorcam_single_channel,F586,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F593.peri_root.mean,fluor.F593.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in peri-root region (filter F593),a.u.,,float,plant_round,,,HADES:FLUOR:F593:PERI_ROOT:MEAN,fluorcam_single_channel,F593,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F593.peri_root.sum,fluor.F593.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in peri-root region (filter F593),a.u.,,float,plant_round,,,HADES:FLUOR:F593:PERI_ROOT:SUM,fluorcam_single_channel,F593,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F635.peri_root.mean,fluor.F635.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in peri-root region (filter F635),a.u.,,float,plant_round,,,HADES:FLUOR:F635:PERI_ROOT:MEAN,fluorcam_single_channel,F635,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F635.peri_root.sum,fluor.F635.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in peri-root region (filter F635),a.u.,,float,plant_round,,,HADES:FLUOR:F635:PERI_ROOT:SUM,fluorcam_single_channel,F635,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.ChlF.peri_root.mean,fluor.ChlF.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in peri-root region (filter ChlF),a.u.,,float,plant_round,,,HADES:FLUOR:ChlF:PERI_ROOT:MEAN,fluorcam_single_channel,ChlF,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.ChlF.peri_root.sum,fluor.ChlF.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in peri-root region (filter ChlF),a.u.,,float,plant_round,,,HADES:FLUOR:ChlF:PERI_ROOT:SUM,fluorcam_single_channel,ChlF,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.glass.peri_root.mean,fluor.glass.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in peri-root region (filter glass),a.u.,,float,plant_round,,,HADES:FLUOR:glass:PERI_ROOT:MEAN,fluorcam_single_channel,glass,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.glass.peri_root.sum,fluor.glass.peri_root,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in peri-root region (filter glass),a.u.,,float,plant_round,,,HADES:FLUOR:glass:PERI_ROOT:SUM,fluorcam_single_channel,glass,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,peri_root,dilated_root_exclusive,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,peri-root fluorescence signal,,peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F448.root_plus_peri.mean,fluor.F448.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in root + peri-root region (filter F448),a.u.,,float,plant_round,,,HADES:FLUOR:F448:ROOT_PLUS_PERI:MEAN,fluorcam_single_channel,F448,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F448.root_plus_peri.sum,fluor.F448.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in root + peri-root region (filter F448),a.u.,,float,plant_round,,,HADES:FLUOR:F448:ROOT_PLUS_PERI:SUM,fluorcam_single_channel,F448,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F469.root_plus_peri.mean,fluor.F469.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in root + peri-root region (filter F469),a.u.,,float,plant_round,,,HADES:FLUOR:F469:ROOT_PLUS_PERI:MEAN,fluorcam_single_channel,F469,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F469.root_plus_peri.sum,fluor.F469.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in root + peri-root region (filter F469),a.u.,,float,plant_round,,,HADES:FLUOR:F469:ROOT_PLUS_PERI:SUM,fluorcam_single_channel,F469,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F483.root_plus_peri.mean,fluor.F483.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in root + peri-root region (filter F483),a.u.,,float,plant_round,,,HADES:FLUOR:F483:ROOT_PLUS_PERI:MEAN,fluorcam_single_channel,F483,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F483.root_plus_peri.sum,fluor.F483.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in root + peri-root region (filter F483),a.u.,,float,plant_round,,,HADES:FLUOR:F483:ROOT_PLUS_PERI:SUM,fluorcam_single_channel,F483,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC1,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F513.root_plus_peri.mean,fluor.F513.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in root + peri-root region (filter F513),a.u.,,float,plant_round,,,HADES:FLUOR:F513:ROOT_PLUS_PERI:MEAN,fluorcam_single_channel,F513,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F513.root_plus_peri.sum,fluor.F513.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence sum in root + peri-root region (filter F513),a.u.,,float,plant_round,,,HADES:FLUOR:F513:ROOT_PLUS_PERI:SUM,fluorcam_single_channel,F513,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC1|FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
fluor.F520.root_plus_peri.mean,fluor.F520.root_plus_peri,fluorescence,fluorcam_single_channel_roi,Fluorescence mean in root + peri-root region (filter F520),a.u.,,float,plant_round,,,HADES:FLUOR:F520:ROOT_PLUS_PERI:MEAN,fluorcam_single_channel,F520,"Per-acquisition FluorCam protocol from the raw acquisition TAR. The protocol may activate one or multiple excitation channels at user-defined percentages (Act1, Act2, Super, FAR, UV, RBLUE, BLUE, GREEN, AMBER, RED) and also records settings such as Filter, ShutterTime, and Sensitivity.",,assay-dependent,root_plus_peri,dilated_root,FC2,Common assay mappings used at NPEC: mCherry -> F635; coumarin-related fluorescence -> F483; mTurquoise2 -> F513; GFP -> F513/F520; YFP emission near 596 nm is captured with the HADES F593 filter.,,scalar,root + peri-root fluorescence signal,,root and peri-root region,,fluorescence signal,,RootCam fluorescence ROI quantification,"A RootCam fluorescence image is acquired using a user-selected FluorCam protocol and emission filter. The raw TAR contains the acquisition protocol, including excitation-channel percentages, filter selection, shutter time and sensitivity. FC_analysis.py extracts the archived .dumm image, horizontally flips it, and applies filter- and FC-unit-specific geometric alignment to the ROI masks generated from the corresponding backlit image. Mean or summed pixel intensity is then calculated within each ROI. ROI pixel counts are represented separately as channel-independent mask variables rather than duplicated by filter.",https://github.com/valerian-meline/HADES_FC; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
